id,alive,request,resolve,url,subdomain,level,cname,ip,public,cdn,port,status,reason,title,banner,cidr,asn,org,addr,isp,source
9,0,0,1,http://kkclouds.com,kkclouds.com,0,kkclouds.com,27.159.65.43,1,0,80,,"(MaxRetryError(""HTTPConnectionPool(host='kkclouds.com', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000001B447343D68>, 'Connection to kkclouds.com timed out. (connect timeout=13)'))""),)",,,27.159.64.0/20,AS133775,Xiamen,中国福建省厦门市,电信,IP138Query
12,0,0,1,https://kkclouds.com,kkclouds.com,0,kkclouds.com,27.159.65.43,1,0,443,,"(ReadTimeoutError(""HTTPSConnectionPool(host='kkclouds.com', port=443): Read timed out. (read timeout=13)""),)",,,27.159.64.0/20,AS133775,Xiamen,中国福建省厦门市,电信,IP138Query
6,1,1,1,https://kkmanage.kkclouds.com,kkmanage.kkclouds.com,1,kkmanage.kkclouds.com,120.41.41.184,1,1,443,200,OK,快快云-混合云服务平台_企业上云服务-一站式云安全管理服务商,nginx,120.41.32.0/20,AS133775,Xiamen,中国福建省厦门市,电信,SoSearch
7,1,1,1,http://kkmanage.kkclouds.com,kkmanage.kkclouds.com,1,kkmanage.kkclouds.com,120.41.41.184,1,1,80,200,OK,后台管理系统,"nginx,PHP/7.3.19",120.41.32.0/20,AS133775,Xiamen,中国福建省厦门市,电信,SoSearch
1,1,1,1,http://opentest.kkclouds.com,opentest.kkclouds.com,1,opentest.kkclouds.com,117.24.6.129,1,0,80,200,OK,"'{""code"":1,""msg"":""错误的请求地址""}'",nginx,117.24.0.0/20,AS133776,Quanzhou,中国福建省泉州市,电信,CertSpotterQuery
2,1,1,1,https://opentest.kkclouds.com,opentest.kkclouds.com,1,opentest.kkclouds.com,117.24.6.129,1,0,443,200,OK,"'{""code"":1,""msg"":""错误的请求地址""}'",nginx,117.24.0.0/20,AS133776,Quanzhou,中国福建省泉州市,电信,CertSpotterQuery
3,1,1,1,http://test.kkclouds.com,test.kkclouds.com,1,test.kkclouds.com,117.24.6.129,1,1,80,200,OK,快快云-混合云服务平台_企业上云服务-一站式云安全管理服务商,nginx,117.24.0.0/20,AS133776,Quanzhou,中国福建省泉州市,电信,RapidDNSQuery
8,1,1,1,https://test.kkclouds.com,test.kkclouds.com,1,test.kkclouds.com,117.24.6.129,1,1,443,200,OK,CDN管理平台 - 登录,nginx,117.24.0.0/20,AS133776,Quanzhou,中国福建省泉州市,电信,RapidDNSQuery
4,1,1,1,https://testwaf.kkclouds.com,testwaf.kkclouds.com,1,5fffdd18269e4fd7857648d57d7c069a.vip.kk30.com,117.24.6.6,1,0,443,200,OK,'\n',openresty,117.24.0.0/20,AS133776,Quanzhou,中国福建省泉州市,电信,CertSpotterQuery
5,1,1,1,http://testwaf.kkclouds.com,testwaf.kkclouds.com,1,5fffdd18269e4fd7857648d57d7c069a.vip.kk30.com,117.24.6.6,1,1,80,200,OK,'body截获',openresty,117.24.0.0/20,AS133776,Quanzhou,中国福建省泉州市,电信,CertSpotterQuery
10,0,0,1,http://www.kkclouds.com,www.kkclouds.com,1,www.kkclouds.com,120.41.41.184,1,0,80,,"(MaxRetryError(""HTTPConnectionPool(host='www.kkclouds.com', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000001B44723F550>, 'Connection to www.kkclouds.com timed out. (connect timeout=13)'))""),)",,,120.41.32.0/20,AS133775,Xiamen,中国福建省厦门市,电信,IP138Query
11,0,0,1,https://www.kkclouds.com,www.kkclouds.com,1,www.kkclouds.com,120.41.41.184,1,0,443,,"(MaxRetryError(""HTTPSConnectionPool(host='www.kkclouds.com', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001B4473355F8>, 'Connection to www.kkclouds.com timed out. (connect timeout=13)'))""),)",,,120.41.32.0/20,AS133775,Xiamen,中国福建省厦门市,电信,IP138Query
